日期,小时,广告计划,曝光量,点击量,转化数,归因转化数,消耗
D001,4,14661605,19,8,5,0,0.0389491726
D001,4,15184511,58,24,6,4,0.0337845301
D001,4,15398570,249,99,17,7,0.0574593523
D001,4,15746419,34,13,4,0,0.0171001314
D001,4,16823030,14,3,0,0,0.0026825932
D001,4,17321082,11,3,0,0,0.0011031411
D001,4,17686799,84,20,1,1,0.0216992930
D001,4,18975823,90,47,7,4,0.0184548268
D001,4,19129839,26,8,0,0,0.0071944827
D001,4,23852329,17,5,1,1,0.0041872373
D001,4,24378636,50,18,0,0,0.0051259077
D001,4,24389111,13,8,0,0,0.0029305804
D001,4,26091094,6,1,0,0,0.0008640793
D001,4,26998428,29,12,0,0,0.0048833492
D001,4,27118781,35,16,1,0,0.0073639947
D001,4,27321366,37,15,0,0,0.0053212344
D001,4,2828357,15,4,0,0,0.0040107766
D001,4,28351001,61,36,10,7,0.1132602264
D001,4,2865314,24,5,1,0,0.0051938683
D001,4,28739284,9,4,2,1,0.0031212671
D001,4,28795042,91,41,8,2,0.0189567593
D001,4,28896342,5,1,0,0,0.0041429882
D001,4,29427842,63,27,5,5,0.0442910578
D001,4,30368132,9,2,0,0,0.0050916593
D001,4,30491418,29,14,1,0,0.0119993682
D001,4,30535894,16,9,1,1,0.0058413677
D001,4,30801593,553,189,21,14,0.0374535344
D001,4,31772643,46,8,2,2,0.0060753862
D001,4,32323516,33,7,0,0,0.0030486268
D001,4,32368244,55,26,11,8,0.0308015117
D001,4,32452111,22,6,0,0,0.0037136503
D001,4,3892353,4,1,1,0,0.0008326905
D001,4,4869922,24,13,1,0,0.0102453684
D001,4,497593,78,30,0,0,0.0042007286
D001,4,5061834,74,22,2,0,0.0243494248
D001,4,6686701,9,2,0,0,0.0015611011
D001,4,6686704,6,1,0,0,0.0025319070
D001,4,6886817,58,26,2,1,0.0179050993
D001,4,7061828,38,10,1,1,0.0221913647
D001,4,7121544,87,40,7,3,0.0791477649
D001,4,9100693,15,5,2,1,0.0005067197
D001,5,10341182,769,342,80,43,0.2282946463
D001,5,10474106,29,20,13,5,0.0148890911
D001,5,12121528,38,12,3,1,0.0201759962
D001,5,12843318,24,7,3,3,0.0062663813
D001,5,13947795,58,19,0,0,0.0467194568
D001,5,14121532,48,24,5,2,0.0147942831
D001,5,14235907,44,17,5,2,0.0336680897
D001,5,14458654,16,6,0,0,0.0132867399
D001,5,14661605,58,19,1,0,0.0333147452
D001,5,15184511,157,69,23,9,0.0812369287
D001,5,15398570,304,135,25,12,0.0766022016
D001,5,15746419,70,32,2,1,0.0333108429
D001,5,16823030,51,18,3,2,0.0143854993
D001,5,17321082,41,20,3,3,0.0127827533
D001,5,17686799,213,59,1,1,0.0521433917
D001,5,18975823,123,45,4,2,0.0198551664
D001,5,19129839,73,21,0,0,0.0445639085
D001,5,23852329,38,9,0,0,0.0093251376
D001,5,24378636,118,43,0,0,0.0198251916
D001,5,24389111,50,12,0,0,0.0221205574
D001,5,26091094,18,5,0,0,0.0079688459
D001,5,26998428,55,20,4,1,0.0206772094
D001,5,27118781,59,24,6,5,0.0329145399
D001,5,27321366,68,17,2,2,0.0128345796
D001,5,2828357,22,9,0,0,0.0083680175
D001,5,28351001,98,66,12,1,0.0395847310
D001,5,2865314,70,10,2,1,0.0291289304
D001,5,28739284,27,8,2,2,0.0212690835
D001,5,28795042,184,57,7,3,0.0513079110
D001,5,28896342,11,5,0,0,0.0048883151
D001,5,29427842,102,31,7,3,0.0762564187
D001,5,30368132,17,5,1,1,0.0065326443
D001,5,30491418,41,18,1,0,0.0319198614
D001,5,30535894,61,37,6,5,0.0193101962
D001,5,30801593,1563,536,55,21,0.1268644552
D001,5,31772643,127,49,1,1,0.0516208782
D001,5,32323516,42,13,2,0,0.0088098484
D001,5,32368244,71,32,12,7,0.0613458451
D001,5,32452111,66,25,2,0,0.0065355455
D001,5,3892353,11,3,1,1,0.0030522341
D001,5,4869922,57,30,2,1,0.0215896819
D001,5,497593,90,30,1,0,0.0067180652
D001,5,5061834,182,47,5,0,0.1045498334
D001,5,6686701,51,23,15,14,0.0369836769
D001,5,6686704,30,16,6,4,0.0123001860
D001,5,6886817,70,24,4,1,0.0215452586
D001,5,7061828,87,30,4,3,0.0277007019
D001,5,7121544,124,55,2,1,0.0545918042
D001,5,9100693,32,12,6,4,0.0047776940
D001,6,10341182,976,427,92,48,0.2405389752
D001,6,10474106,46,34,13,4,0.0324485582
D001,6,12121528,50,20,4,0,0.0326253883
D001,6,12843318,34,16,1,1,0.0081412591
D001,6,13947795,88,29,1,1,0.0402561902
D001,6,14121532,106,41,4,1,0.0491061804
D001,6,14235907,82,34,6,2,0.0528730603
D001,6,14458654,29,14,6,5,0.0092278430
D001,6,14661605,89,24,3,2,0.0525229342
D001,6,15184511,210,72,20,10,0.1153550839
D001,6,15398570,405,141,32,14,0.1129845535
D001,6,15746419,179,66,6,3,0.1213200459
D001,6,16823030,101,32,5,0,0.0366746471
D001,6,17321082,69,30,8,5,0.0136879259
D001,6,17686799,400,123,9,5,0.0901210684
D001,6,18975823,141,53,3,2,0.0597349621
D001,6,19129839,111,32,5,3,0.0394262230
D001,6,23852329,77,20,4,0,0.0292213926
D001,6,24378636,186,57,6,5,0.0335554015
D001,6,24389111,103,33,4,3,0.0446111068
D001,6,26091094,33,11,1,0,0.0168613542
D001,6,26998428,82,19,2,0,0.0177479496
D001,6,27118781,83,33,7,5,0.0249890809
D001,6,27321366,145,41,4,3,0.0290909025
D001,6,2828357,50,16,1,1,0.0139650390
D001,6,28351001,195,118,17,4,0.0808337355
D001,6,2865314,98,22,5,1,0.0388294407
D001,6,28739284,46,17,0,0,0.0236636381
D001,6,28795042,275,87,9,7,0.0482017903
D001,6,28896342,36,11,1,1,0.0178868369
D001,6,29427842,212,68,7,4,0.0969694103
D001,6,30368132,48,18,7,2,0.0370303270
D001,6,30491418,114,49,6,2,0.0727802020
D001,6,30535894,117,63,11,11,0.0478032680
D001,6,30801593,1978,657,67,26,0.1302967389
D001,6,31772643,265,104,17,14,0.0552940907
D001,6,32323516,101,34,4,1,0.0140663280
D001,6,32368244,154,88,33,16,0.1702332187
D001,6,32452111,168,53,5,4,0.0417806195
D001,6,3892353,18,5,0,0,0.0156619728
D001,6,4869922,63,22,0,0,0.0282591832
D001,6,497593,159,64,4,2,0.0129995742
D001,6,5061834,361,85,7,0,0.1607399691
D001,6,6686701,75,34,4,1,0.0269518524
D001,6,6686704,43,18,4,3,0.0196804245
D001,6,6886817,140,62,10,6,0.0448918362
D001,6,7061828,168,44,7,2,0.0610002826
D001,6,7121544,183,69,10,4,0.0580703575
D001,6,9100693,75,32,19,14,0.0124399732
D001,7,10341182,1013,433,93,53,0.3059709287
D001,7,10474106,51,39,14,0,0.0395733601
D001,7,12121528,83,26,7,3,0.0648460876
D001,7,12843318,80,36,7,7,0.0184305182
D001,7,13947795,106,45,1,1,0.0561715473
D001,7,14121532,188,79,18,12,0.1036460607
D001,7,14235907,101,47,8,3,0.0767816012
D001,7,14458654,44,25,11,6,0.0348209187
D001,7,14661605,166,56,9,3,0.1004051672
D001,7,15184511,261,108,48,18,0.1717325895
D001,7,15398570,453,174,34,20,0.1126097190
D001,7,15746419,209,82,14,10,0.1137612120
D001,7,16823030,154,51,3,1,0.0335098857
D001,7,17321082,130,28,3,2,0.0231487622
D001,7,17686799,663,197,17,13,0.1283467641
D001,7,18975823,112,42,3,0,0.0217854435
D001,7,19129839,153,41,8,5,0.0539971039
D001,7,23852329,165,30,2,0,0.0442473991
D001,7,24378636,281,87,4,2,0.0470815060
D001,7,24389111,121,34,1,0,0.0530623551
D001,7,26091094,51,18,1,0,0.0283036044
D001,7,26998428,114,37,2,0,0.0383988119
D001,7,27118781,162,64,19,17,0.0577827607
D001,7,27321366,289,98,8,2,0.0464943285
D001,7,2828357,66,20,1,1,0.0211337970
D001,7,28351001,339,207,37,19,0.1195786258
D001,7,2865314,134,25,3,3,0.0394113101
D001,7,28739284,68,32,5,2,0.0566003106
D001,7,28795042,291,91,18,10,0.0603472456
D001,7,28896342,45,13,0,0,0.0198845861
D001,7,29427842,247,90,17,11,0.1736795718
D001,7,30368132,61,25,3,3,0.0281325150
D001,7,30491418,220,78,10,7,0.1082706592
D001,7,30535894,143,84,15,15,0.0517863133
D001,7,30801593,1742,560,65,27,0.1086652408
D001,7,31772643,480,215,18,16,0.1166462038
D001,7,32323516,136,35,1,1,0.0247100477
D001,7,32368244,283,145,70,39,0.2659771207
D001,7,32452111,257,90,17,6,0.0385570465
D001,7,3892353,35,13,3,1,0.0241894380
D001,7,4869922,64,34,2,2,0.0530132695
D001,7,497593,186,75,3,2,0.0168474476
D001,7,5061834,626,153,17,3,0.2933866613
D001,7,6686701,114,49,11,4,0.0284483740
D001,7,6686704,64,30,2,2,0.0225704292
D001,7,6886817,138,56,7,2,0.0391216972
D001,7,7061828,250,85,15,12,0.0861463391
D001,7,7121544,182,68,9,4,0.0648556592
D001,7,9100693,111,38,19,14,0.0224857556
D001,8,10341182,1033,432,97,46,0.2500246537
D001,8,10474106,56,28,5,0,0.0323395793
D001,8,12121528,106,44,15,6,0.0605406769
D001,8,12843318,73,41,8,7,0.0428183213
D001,8,13947795,154,49,3,3,0.0876283300
D001,8,14121532,233,97,18,13,0.1005727788
D001,8,14235907,157,57,6,3,0.0936600366
D001,8,14458654,77,44,7,5,0.0485617646
D001,8,14661605,211,56,16,10,0.1264413434
D001,8,15184511,350,133,57,29,0.2130677750
D001,8,15398570,489,193,45,18,0.1618838137
D001,8,15746419,187,51,11,9,0.0913085310
D001,8,16823030,191,65,5,1,0.0611094708
D001,8,17321082,213,61,6,6,0.0622914729
D001,8,17686799,921,261,28,22,0.2354649302
D001,8,18975823,168,79,6,3,0.0643958213
D001,8,19129839,186,59,10,7,0.0616135138
D001,8,23852329,185,47,3,0,0.0768512092
D001,8,24378636,343,114,12,12,0.0892485150
D001,8,24389111,130,35,2,0,0.0380651948
D001,8,26091094,65,31,6,5,0.0515519538
D001,8,26998428,123,40,3,1,0.0321000517
D001,8,27118781,132,51,11,9,0.0584735537
D001,8,27321366,317,113,10,6,0.0576206364
D001,8,2828357,88,31,0,0,0.0307835814
D001,8,28351001,406,242,32,11,0.1243642451
D001,8,2865314,190,42,7,2,0.0827705069
D001,8,28739284,99,24,5,2,0.0474768699
D001,8,28795042,312,83,17,9,0.0451157481
D001,8,28896342,82,24,3,0,0.0444106429
D001,8,29427842,289,111,24,17,0.1508482574
D001,8,30368132,77,30,5,1,0.0383709568
D001,8,30491418,261,93,11,7,0.1624965766
D001,8,30535894,160,73,15,14,0.0558515713
D001,8,30801593,1856,652,62,19,0.1214117419
D001,8,31772643,475,179,22,19,0.0904486608
D001,8,32323516,201,46,1,0,0.0339007735
D001,8,32368244,283,157,63,35,0.3200630807
D001,8,32452111,325,110,17,5,0.0419002689
D001,8,3892353,48,20,8,4,0.0282549834
D001,8,4869922,67,29,4,2,0.0368554563
D001,8,497593,205,71,7,3,0.0139336274
D001,8,5061834,797,181,22,11,0.4080367072
D001,8,6686701,143,72,14,5,0.0509668697
D001,8,6686704,66,24,2,0,0.0336240927
D001,8,6886817,136,61,8,2,0.0462875181
D001,8,7061828,264,73,8,4,0.0813071120
D001,8,7121544,187,56,5,2,0.0556715419
D001,8,9100693,139,33,15,12,0.0200348413
D001,9,10341182,1041,455,97,53,0.2945959808
D001,9,10474106,87,66,8,3,0.0423287117
D001,9,12121528,130,60,15,5,0.1082688485
D001,9,12843318,91,49,8,5,0.0820418967
D001,9,13947795,163,51,1,1,0.0572483640
D001,9,14121532,210,82,12,5,0.0940522495
D001,9,14235907,155,55,4,2,0.0926253545
D001,9,14458654,107,75,19,9,0.0664871380
D001,9,14661605,220,58,13,6,0.1300146616
D001,9,15184511,380,129,64,20,0.1788370817
D001,9,15398570,505,189,34,18,0.1236010205
D001,9,15746419,183,74,10,5,0.1026303252
D001,9,16823030,210,71,7,2,0.0520992147
D001,9,17321082,179,48,6,5,0.0448492224
D001,9,17686799,867,238,26,21,0.1968699684
D001,9,18975823,260,129,12,11,0.0588962064
D001,9,19129839,159,55,6,6,0.0585096108
D001,9,23852329,194,55,3,1,0.0969716611
D001,9,24378636,353,98,5,5,0.0836498940
D001,9,24389111,129,42,4,4,0.0615026056
D001,9,26091094,71,23,6,4,0.0450003272
D001,9,26998428,119,41,6,2,0.0527193313
D001,9,27118781,117,49,19,17,0.0963778211
D001,9,27321366,283,95,12,3,0.0698317544
D001,9,2828357,97,29,1,1,0.0330210191
D001,9,28351001,462,281,41,11,0.1249097581
D001,9,2865314,186,32,3,0,0.0520771439
D001,9,28739284,110,39,5,1,0.0638379490
D001,9,28795042,354,91,7,1,0.0449018164
D001,9,28896342,84,24,2,0,0.0404005617
D001,9,29427842,296,91,13,8,0.1862133142
D001,9,30368132,82,22,2,1,0.0463222731
D001,9,30491418,340,106,14,10,0.2839270218
D001,9,30535894,132,76,17,17,0.0634063414
D001,9,30801593,1508,505,58,27,0.1080096452
D001,9,31772643,480,208,30,26,0.1005083632
D001,9,32323516,182,38,1,0,0.0244285834
D001,9,32368244,385,185,90,53,0.3409656640
D001,9,32452111,327,123,20,11,0.0592446192
D001,9,3892353,44,16,2,1,0.0192928714
D001,9,4869922,62,34,7,7,0.0448747412
D001,9,497593,222,79,4,1,0.0385646671
D001,9,5061834,825,208,16,1,0.3734335674
D001,9,6686701,172,58,8,4,0.0522632837
D001,9,6686704,100,30,4,0,0.0554853637
D001,9,6886817,134,56,10,4,0.0494427171
D001,9,7061828,302,82,13,11,0.0912665032
D001,9,7121544,199,78,9,5,0.0559633077
D001,9,9100693,156,53,35,26,0.0298601098
D001,10,10341182,1081,446,73,38,0.2743156240
D001,10,10474106,96,55,12,3,0.0550506007
D001,10,12121528,92,37,5,0,0.0527415695
D001,10,12843318,112,62,9,9,0.0544015936
D001,10,13947795,157,45,1,1,0.0626183407
D001,10,14121532,213,84,21,8,0.0818249833
D001,10,14235907,185,63,8,1,0.1263985797
D001,10,14458654,89,49,10,10,0.0427757908
D001,10,14661605,215,91,18,17,0.1482201006
D001,10,15184511,359,146,84,27,0.1842351473
D001,10,15398570,478,188,48,24,0.1159920590
D001,10,15746419,209,77,14,12,0.1355680375
D001,10,16823030,197,62,8,3,0.0644402996
D001,10,17321082,181,52,10,9,0.0395426895
D001,10,17686799,911,216,20,15,0.1574167889
D001,10,18975823,284,124,15,9,0.1082462116
D001,10,19129839,171,66,9,6,0.0739418358
D001,10,19530182,211,106,3,2,0.0639124804
D001,10,23852329,210,69,8,6,0.0772330031
D001,10,24378636,298,97,11,11,0.0643365482
D001,10,24389111,139,36,0,0,0.0549295147
D001,10,26091094,47,10,1,0,0.0246687680
D001,10,26998428,172,41,1,0,0.0347237221
D001,10,27118781,106,33,9,8,0.0507945530
D001,10,27321366,302,95,13,6,0.0600944930
D001,10,2828357,84,27,0,0,0.0570246564
D001,10,28351001,440,246,49,10,0.1541390782
D001,10,2865314,174,42,3,2,0.0614447591
D001,10,28739284,127,42,3,1,0.0702998950
D001,10,28795042,324,76,13,4,0.0538727374
D001,10,28896342,81,24,3,0,0.0399644614
D001,10,29427842,305,106,17,8,0.2048691050
D001,10,30368132,86,26,3,1,0.0477104424
D001,10,30491418,363,122,19,12,0.2132746885
D001,10,30535894,150,75,12,12,0.0481983795
D001,10,30801593,1693,600,78,26,0.1367471328
D001,10,31772643,520,216,25,22,0.1353485160
D001,10,32323516,220,42,0,0,0.0353018378
D001,10,32368244,431,217,104,52,0.4297545273
D001,10,32452111,342,104,16,11,0.0410731085
D001,10,3892353,60,18,3,2,0.0276284043
D001,10,4869922,78,39,3,1,0.0665888805
D001,10,497593,187,75,4,3,0.0135174971
D001,10,5061834,851,215,18,4,0.3928750564
D001,10,6686701,195,76,16,8,0.0709772164
D001,10,6686704,103,40,7,3,0.0387291082
D001,10,6886817,120,53,9,4,0.0424545301
D001,10,7061828,292,79,14,8,0.0849410342
D001,10,7121544,185,75,6,5,0.0729764958
D001,10,9100693,134,37,23,9,0.0215559985
D001,11,10341182,1066,437,90,49,0.3170131064
D001,11,10474106,84,50,4,2,0.0383095754
D001,11,12121528,118,66,14,7,0.1033279969
D001,11,12843318,109,64,14,12,0.0607156068
D001,11,13947795,171,50,1,0,0.0606033482
D001,11,14121532,241,104,13,7,0.1447215243
D001,11,14235907,153,56,14,5,0.1079413952
D001,11,14458654,76,40,9,7,0.0380996591
D001,11,14661605,267,81,13,10,0.1883649734
D001,11,15184511,381,147,71,33,0.2168852840
D001,11,15398570,457,193,37,12,0.1464731519
D001,11,15746419,150,57,5,5,0.0714911863
D001,11,16823030,188,61,5,2,0.0467526398
D001,11,17321082,166,46,6,2,0.0275319766
D001,11,17686799,713,177,14,13,0.1392443396
D001,11,18975823,297,164,23,18,0.1370450269
D001,11,19129839,158,32,1,1,0.0459723610
D001,11,19530182,301,126,1,0,0.1009929584
D001,11,23852329,205,65,9,1,0.1111955909
D001,11,24378636,334,93,13,12,0.1036589303
D001,11,24389111,152,50,3,3,0.0632455795
D001,11,26091094,45,15,2,2,0.0389023973
D001,11,26998428,161,40,2,0,0.0542091659
D001,11,27118781,125,37,10,8,0.0521427368
D001,11,27321366,214,60,2,1,0.0377928640
D001,11,2828357,70,29,0,0,0.0239640087
D001,11,28351001,387,206,34,7,0.1316309520
D001,11,2865314,221,30,6,5,0.0548202412
D001,11,28739284,137,35,9,4,0.0838503938
D001,11,28795042,308,97,9,5,0.0347222327
D001,11,28896342,57,22,1,0,0.0474130063
D001,11,29427842,306,107,24,10,0.1798718285
D001,11,30368132,100,21,4,2,0.0776578834
D001,11,30491418,362,140,24,10,0.2931453358
D001,11,30535894,118,62,6,6,0.0442432853
D001,11,30801593,1570,521,54,17,0.1000074135
D001,11,31772643,492,213,18,14,0.1156918761
D001,11,32323516,189,47,0,0,0.0332832458
D001,11,32368244,462,219,82,52,0.3595839999
D001,11,32452111,304,76,18,11,0.0394630987
D001,11,3892353,47,17,1,1,0.0239101693
